url,title,category,word_count,char_count,avg_words_per_sentence,image_count,paragraph_count,title_length,reading_time
https://www.novinky.cz/clanek/krimi-v-centru-olomouce-hrozil-pad-sedesatikilove-kovove-paryby-40516105,V centru Olomouce hrozil pád šedesátikilové kovové paryby,Krimi,119,819,11.9,3,5,8,0.595
https://www.novinky.cz/clanek/zahranicni-evropa-herec-a-komik-russell-brand-byl-obzalovan-ze-znasilneni-40516122,Herec a komik Russell Brand byl obžalován ze znásilnění,Zahraniční,153,1031,17.0,2,4,9,0.765
https://www.novinky.cz/clanek/krimi-zena-z-tabora-vyrazila-pesky-po-dalnici-d3-za-pribuznymi-do-prahy-40516119,Žena z Tábora vyrazila pěšky po dálnici D3 za příbuznými do Prahy,Krimi,95,631,11.88,1,4,12,0.475
https://www.novinky.cz/clanek/ekonomika-akciovy-vyplach-uz-dorazil-i-na-prazskou-burzu-40516090,Akciový výplach už dorazil i na pražskou burzu,Ekonomika,266,1673,14.78,1,7,8,1.33
https://www.novinky.cz/clanek/zahranicni-amerika-cina-to-udelala-spatne-trumpa-vytocila-celni-odveta-pekingu-40516113,Čína to udělala špatně. Trumpa vytočila celní odveta Pekingu,Zahraniční,328,2244,14.26,4,10,9,1.64
https://www.novinky.cz/clanek/zahranicni-svet-usa-pokukuji-po-nerostnem-bohatstvi-v-kongu-scenar-je-podobny-jako-na-ukrajine-40516096,USA pokukují po nerostném bohatství v Kongu. Scénář je podobný jako na Ukrajině,Zahraniční,258,1747,12.29,2,7,13,1.29
https://www.novinky.cz/clanek/krimi-srazka-tri-dodavek-na-klatovsku-dva-ridici-jsou-tezce-zraneni-40516094,Havárie tří dodávek na Klatovsku. Dva řidiči jsou těžce zranění,Krimi,206,1423,9.81,4,8,10,1.03
https://www.novinky.cz/clanek/krimi-pomohli-zranenemu-taxikari-pri-nehode-pak-odjeli-dva-hrdiny-hledaji-jihocesti-policiste-40516069,"Pomohli zraněnému taxikáři při nehodě, pak odjeli. Dva hrdiny hledají jihočeští policisté",Krimi,146,904,11.23,2,4,12,0.73
https://www.novinky.cz/clanek/zahranicni-evropa-sokujici-preference-v-nemecku-afd-uz-je-jen-kousek-za-merzovymi-konzervativci-40516042,Šokující preference v Německu: AfD už je jen kousek za Merzovými konzervativci,Zahraniční,286,1869,15.05,3,8,12,1.43
https://www.novinky.cz/clanek/domaci-poslanci-nenapadne-chystaji-novy-nahubkovy-zakon-40516109,Poslanci nenápadně chystají nový náhubkový zákon,Domácí,459,3026,17.0,4,11,6,2.295
https://www.novinky.cz/clanek/zahranicni-amerika-dalsi-republikansky-vzdor-proti-trumpovi-senator-mu-chce-vzit-pravo-rozhodovat-o-clech-40516067,Další republikánský vzdor proti Trumpovi. Senátor mu chce vzít právo rozhodovat o clech,Zahraniční,502,3457,16.73,3,10,13,2.51
https://www.novinky.cz/clanek/zahranicni-svet-blizi-se-standardum-jizni-koreje-objevily-se-satelitni-snimky-nove-valecne-lode-kldr-40515694,Blíží se standardům Jižní Koreje. Objevily se satelitní snímky nové válečné lodě KLDR,Zahraniční,438,3055,16.22,3,9,13,2.19
https://www.novinky.cz/clanek/krimi-zkousel-trik-za-trikem-az-uspel-muz-v-zatci-podvedl-prodejce-zlatych-minci-40516074,"Zkoušel trik za trikem, až uspěl. Muž v Žatci podvedl prodejce zlatých mincí",Krimi,220,1402,16.92,1,5,13,1.1
https://www.novinky.cz/clanek/krimi-za-pozar-a-smrt-dvou-lidi-v-roztokach-u-prahy-soud-netrestal-nezna-pricinu-40516097,"Za požár a smrt dvou lidí v Roztokách u Prahy soud netrestal, nezná příčinu",Krimi,366,2561,12.62,4,12,14,1.83
https://www.novinky.cz/clanek/zahranicni-amerika-dva-sedesatnici-v-usa-unesli-sestiletou-divku-zatkli-je-kvuli-vysoke-rychlosti-40515331,Dva šedesátníci v USA unesli šestiletou dívku. Zatkli je kvůli vysoké rychlosti,Zahraniční,224,1425,17.23,3,6,12,1.12
https://www.novinky.cz/clanek/internet-a-pc-software-obri-uspech-i-neprijemne-preslapy-pribeh-microsoftu-ktery-zmenil-technologicky-svet-40516070,"Obří úspěch i nepříjemné přešlapy. Příběh Microsoftu, který změnil technologický svět",Internet a PC,1165,7616,15.53,18,46,11,5.825
https://www.novinky.cz/clanek/valka-na-ukrajine-otec-elona-muska-se-rozplyva-nad-putinem-bylo-by-hloupe-ho-neobdivovat-40516085,Otec Elona Muska: Bylo by hloupé neobdivovat Putina,Válka na Ukrajině,327,2121,13.62,4,9,8,1.635
https://www.novinky.cz/clanek/zahranicni-evropa-orban-chce-zprisnit-pravidla-pro-demonstrace-40516034,Orbán chce zpřísnit pravidla pro demonstrace,Zahraniční,392,2687,15.08,2,10,6,1.96
